Timestamp,Hvor mange 3d-printere har du i aktiv bruk i dag?,Hvor mange kilo PLA filament kjøper du per år?,Hvilken diameter bruker du (mest)?,Hva er det meste du er villig til å betale for norskprodusert PLA filament?,Hvilke farger bruker du mest? (maks 3 valg),Hvor mye PLA filament kan du levere til gjenvinning per år?,Vil du høre mer via epost når vi lanserer?,Har du noen tilbakemeldinger eller tips til oss?,Hvor i Norge bor du?
2/17/2018 20:28:02,1,5,1.75 mm,450 kr / kg,"Sort, Hvit, Grå",2,,,Oslo 
2/17/2018 21:11:49,2,10,2.85 mm,300 kr / kg,"Sort, Hvit",5,,Spole alà «master spoole» hadde vært topp,1459
2/17/2018 21:38:46,1,9,1.75 mm,mindre enn 300 kr/kg,Grå,3,,,4844 Arendal
2/17/2018 21:47:10,0,0,1.75 mm,400 kr / kg,"Sort, Grå, Blå",1,,,0373 oslo
2/17/2018 22:20:46,1,10,1.75 mm,mindre enn 300 kr/kg,Hvit,3,,Nope,2387 Brumunddal
2/17/2018 22:44:07,1,10,1.75 mm,300 kr / kg,Alle,2,,Håper dere får det til,1725 Sarpsborg
2/17/2018 23:10:27,0,0,1.75 mm,300 kr / kg,"Sort, Hvit, Grønn",0,,,oslo
2/17/2018 23:36:54,1,4,1.75 mm,300 kr / kg,"Hvit, Grå, Grønn",1,,,5052 Bergen
2/18/2018 0:48:43,0,1,1.75 mm,400 kr / kg,Sort,0,,,664
2/18/2018 3:45:02,1,10,1.75 mm,300 kr / kg,"Hvit, Grå, Blå",3,,Kommer ikke til å kjøpe om ikke det er billigere enn andre utsalgssteder i Norge.,3128
2/18/2018 3:59:32,1,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",1,,,1711
2/18/2018 6:25:44,1,7,1.75 mm,mindre enn 300 kr/kg,"Sort, Oransj",2,,,6480 Aukra
2/18/2018 8:21:05,1,2,1.75 mm,mindre enn 300 kr/kg,"Hvit, Grå",1,,,5010
2/18/2018 9:13:56,1,4,1.75 mm,400 kr / kg,"Sort, Hvit, Rød",2,,"Alle 3d-printede objekter bør ha et stempel bakt inn i fra slicer'n sitt materialvalg, dette gjør det lettere å identifisere for både første bruker og for eventuell håndtering.",3135
2/18/2018 9:15:03,1,3,1.75 mm,350 kr / kg,Hvit,0,,Jeg liker ideen og har alltid samlet på dårlige printer for å eventuelt bruke plasten på nytt,8151 Ørnes
2/18/2018 9:40:00,1,4,1.75 mm,400 kr / kg,"Sort, Hvit, Grå",1,,,
2/18/2018 11:14:32,2,4,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",1,,,Oslo
2/18/2018 12:09:04,2,8,1.75 mm,350 kr / kg,"Sort, Hvit, Blå",3,,,Arendal
2/18/2018 12:31:22,1,3,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",1,,"Høres ut som et artig prosjekt, håper dere får det til",2052 Jessheim 
2/18/2018 12:45:39,1,3,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",1,,,Stavanger
2/18/2018 13:01:31,2,10,1.75 mm,mindre enn 300 kr/kg,Hvit,2,,Filament over 300kr er uaktuelt for meg egentlig. Høykvalitetsfilament som filamentum går for 269. Og med mindre kvaliteten på resirkulert filament er like bra så tviler jeg at interessen for filament til 300kr er så stor.,1920 sørumsand
2/18/2018 13:56:45,1,5,1.75 mm,300 kr / kg,"Sort, Hvit, Grå",1,,,585
2/18/2018 17:32:12,1,10,1.75 mm,300 kr / kg,Sort,3,,,2003
